orderItemId,orderId,variantId,quantity,price
1,1,40761,2,23000
2,2,141543,1,94000
3,3,45010,2,46000
4,3,206162,1,78000
5,4,52972,1,68000
6,5,63150,1,31000
7,6,42019,2,46000
8,6,89411,2,21000
9,6,99441,3,68000
10,6,40853,2,47000
11,7,207908,1,92000
12,8,203408,3,94000
13,8,93923,3,32000
14,8,9193,2,92000
15,8,108629,1,70000
16,9,54458,2,78000
17,9,222107,1,96000
18,9,232579,1,29000
19,10,207015,1,21000
20,10,11237,1,39000
21,10,48949,3,55000
22,10,186627,2,21000
23,11,110942,2,85000
24,11,12345,3,69000
25,11,90920,3,93000
26,12,229858,1,64000
27,12,1002,1,80000
28,13,131676,3,24000
29,14,115832,1,40000
30,14,129660,2,60000
31,14,178386,2,71000
32,14,53507,1,65000
33,15,19220,1,29000
34,16,93921,1,44000
35,17,167006,1,54000
36,18,113364,1,39000
37,18,163452,1,20000
38,19,86236,3,25000
39,20,200052,2,80000
40,20,90076,1,54000
41,20,91043,3,33000
42,21,216880,3,37000
43,21,165230,2,81000
44,22,178171,3,37000
45,22,37885,2,40000
46,23,23101,1,80000
47,23,6088,3,36000
48,23,30444,3,20000
49,23,34392,2,61000
50,24,56229,2,95000
51,24,61141,3,42000
52,25,133503,3,51000
53,25,172988,2,33000
54,26,7820,1,80000
55,26,188252,1,39000
56,27,73534,2,65000
57,27,13224,2,92000
58,28,75598,2,97000
59,28,152344,2,69000
60,28,191938,2,90000
61,29,230354,2,51000
62,29,86310,2,58000
63,29,124523,3,42000
64,30,230784,2,48000
65,30,48564,1,75000
66,31,176964,1,91000
67,32,24443,3,76000
68,32,63372,2,35000
69,32,239820,3,66000
70,33,61979,3,23000
71,34,158986,1,71000
72,34,195942,1,24000
73,35,216136,2,48000
74,36,89157,2,91000
75,37,236954,3,37000
76,37,176144,1,38000
77,38,10324,2,44000
78,39,81369,1,84000
79,40,72964,3,21000
80,41,222362,3,98000
81,41,228764,1,42000
82,41,118874,2,68000
83,41,167717,3,64000
84,42,154845,1,79000
85,42,172799,3,99000
86,42,134055,1,40000
87,43,179871,3,46000
88,43,79755,1,92000
89,43,30986,1,58000
90,43,83532,3,25000
91,44,48527,1,60000
92,44,28522,3,20000
93,44,112738,1,77000
94,44,150210,1,93000
95,45,226611,3,30000
96,45,75899,1,61000
97,45,3696,3,62000
98,46,103016,1,82000
99,47,215410,1,53000
100,47,125700,1,34000
101,47,12513,3,98000
102,48,139915,3,57000
103,48,239728,2,50000
104,48,127983,2,55000
105,48,14397,3,52000
106,49,128693,3,79000
107,50,231701,1,33000
108,50,136691,2,81000
109,50,9702,1,49000
110,51,81253,3,69000
111,51,164466,2,91000
112,51,155672,2,23000
113,51,86719,3,98000
114,52,114413,3,58000
115,53,63574,3,22000
116,54,142570,1,97000
117,54,4855,3,38000
118,55,133142,1,43000
119,55,209561,2,30000
120,55,184818,3,65000
121,56,6650,3,61000
122,56,24576,2,99000
123,56,170134,2,85000
124,56,158342,2,94000
125,57,63181,2,36000
126,58,95166,2,45000
127,59,107564,3,94000
128,60,34549,3,36000
129,61,196804,2,94000
130,62,79999,1,53000
131,62,231988,1,25000
132,63,126003,3,33000
133,63,27959,3,43000
134,63,102444,3,97000
135,64,26040,3,59000
136,64,9238,3,26000
137,65,83665,2,75000
138,65,200192,1,80000
139,65,214297,1,26000
140,65,54653,1,94000
141,66,53352,1,65000
142,66,119819,2,48000
143,67,54616,3,37000
144,67,227324,1,76000
145,68,164727,1,83000
146,68,69329,1,20000
147,68,132572,2,41000
148,69,194791,3,33000
149,69,121473,1,62000
150,69,165731,3,52000
151,70,194902,3,93000
152,71,238962,3,60000
153,71,34963,1,67000
154,72,229467,3,85000
155,73,234269,1,44000
156,73,168278,1,99000
157,74,170547,1,63000
158,74,63695,3,28000
159,74,73697,3,24000
160,75,199937,1,57000
161,76,112519,3,21000
162,76,229094,2,87000
163,76,156671,1,69000
164,77,100736,3,85000
165,77,209261,1,72000
166,78,233927,2,71000
167,79,6422,3,76000
168,80,160185,1,60000
169,80,236225,1,69000
170,81,151111,2,55000
171,81,87869,3,63000
172,81,89067,1,74000
173,82,169015,1,81000
174,82,134609,2,56000
175,83,112945,1,56000
176,83,228777,2,61000
177,84,135931,3,79000
178,84,155977,3,97000
179,84,235424,1,24000
180,84,191094,3,49000
181,85,144506,1,66000
182,85,214459,3,53000
183,85,236213,2,29000
184,85,55012,2,50000
185,86,138727,3,36000
186,86,202977,3,96000
187,86,168481,2,26000
188,87,20243,2,57000
189,87,124756,3,76000
190,87,84957,3,34000
191,88,68765,1,38000
192,88,182861,2,99000
193,88,233919,1,45000
194,89,92721,1,68000
195,89,156981,2,95000
196,90,65417,1,26000
197,91,20933,2,47000
198,91,42230,3,31000
199,91,28617,2,44000
200,92,35773,1,31000
201,92,121538,1,74000
202,93,167547,3,33000
203,94,83565,3,51000
204,94,160331,1,67000
205,94,77329,3,98000
206,94,110873,2,44000
207,95,159043,1,62000
208,96,24121,1,47000
209,96,47515,2,66000
210,96,152210,2,64000
211,96,131976,1,33000
212,97,79507,3,55000
213,97,9618,2,35000
214,97,67262,2,43000
215,98,214816,2,59000
216,98,127169,2,87000
217,99,13460,2,65000
218,99,6552,1,34000
219,99,136589,3,90000
220,100,24373,3,90000
221,100,186606,2,31000
222,100,179159,3,64000
223,101,108328,2,54000
224,102,54709,1,73000
225,102,120213,2,62000
226,102,72082,2,47000
227,103,145132,2,68000
228,103,127906,3,36000
229,103,82335,1,86000
230,104,206434,2,98000
231,104,57551,3,59000
232,105,31463,1,56000
233,106,22979,3,45000
234,107,222029,3,71000
235,107,28915,3,73000
236,108,110871,1,30000
237,108,191576,3,89000
238,109,198197,2,57000
239,109,168531,2,72000
240,110,170816,2,98000
241,111,72993,3,63000
242,111,136944,2,94000
243,112,213379,3,85000
244,112,184810,3,90000
245,113,171154,2,45000
246,113,57269,1,70000
