orderId,userId,shopId,totalAmount,orderStatus,createdAt
1,9638,1820,168000,PAID,2025-12-30T15:07:16.596
2,9158,316,70000,SHIPPING,2025-12-29T15:07:16.596
3,1428,1533,230000,COMPLETED,2026-01-13T15:07:16.596
4,6157,1819,193000,SHIPPING,2026-01-19T15:07:16.596
5,2573,1035,236000,COMPLETED,2026-01-18T15:07:16.596
6,9271,1777,93000,COMPLETED,2026-01-21T15:07:16.596
7,1159,1175,222000,SHIPPING,2026-01-18T15:07:16.596
8,4138,1645,151000,COMPLETED,2026-01-07T15:07:16.596
9,8483,284,232000,SHIPPING,2026-01-05T15:07:16.596
10,8198,1771,102000,PAID,2026-01-20T15:07:16.596
11,7997,1235,224000,CREATED,2026-01-19T15:07:16.596
12,7977,507,199000,SHIPPING,2026-01-09T15:07:16.596
13,8264,1541,156000,COMPLETED,2026-01-05T15:07:16.596
14,256,1092,146000,SHIPPING,2026-01-23T15:07:16.596
15,3628,802,206000,CREATED,2025-12-29T15:07:16.596
16,8996,1540,194000,SHIPPING,2026-01-14T15:07:16.596
17,6821,23,124000,COMPLETED,2025-12-29T15:07:16.596
18,3578,1924,153000,SHIPPING,2026-01-16T15:07:16.596
19,816,1363,205000,SHIPPING,2025-12-31T15:07:16.596
20,9710,1016,136000,COMPLETED,2026-01-08T15:07:16.596
21,4107,277,164000,CREATED,2026-01-20T15:07:16.596
22,8465,1761,142000,PAID,2026-01-12T15:07:16.596
23,7490,1101,211000,COMPLETED,2026-01-17T15:07:16.596
24,8826,1700,167000,CREATED,2026-01-22T15:07:16.596
25,8070,543,195000,PAID,2026-01-21T15:07:16.596
26,1372,776,157000,COMPLETED,2026-01-11T15:07:16.596
27,6724,1113,228000,COMPLETED,2026-01-18T15:07:16.596
28,4570,1487,235000,PAID,2026-01-25T15:07:16.596
29,1840,1625,153000,PAID,2026-01-22T15:07:16.596
30,543,1332,153000,CREATED,2025-12-29T15:07:16.596
31,3338,1034,76000,PAID,2025-12-30T15:07:16.596
32,9376,588,190000,PAID,2026-01-25T15:07:16.596
33,8929,540,92000,CREATED,2026-01-14T15:07:16.596
34,4366,1116,150000,PAID,2026-01-12T15:07:16.596
35,7715,76,72000,COMPLETED,2026-01-19T15:07:16.596
36,5796,1822,132000,PAID,2026-01-09T15:07:16.596
37,3219,9,69000,COMPLETED,2026-01-17T15:07:16.596
38,1708,906,136000,SHIPPING,2026-01-19T15:07:16.596
39,3830,1126,238000,CREATED,2026-01-03T15:07:16.596
40,9971,731,163000,PAID,2026-01-08T15:07:16.596
41,355,1861,144000,COMPLETED,2026-01-05T15:07:16.596
42,4799,902,206000,CREATED,2026-01-02T15:07:16.596
43,8169,670,124000,CREATED,2026-01-05T15:07:16.596
44,2640,1144,62000,SHIPPING,2026-01-15T15:07:16.596
45,4258,437,168000,SHIPPING,2026-01-20T15:07:16.596
46,8578,1730,135000,CREATED,2026-01-14T15:07:16.596
47,9451,231,212000,COMPLETED,2026-01-06T15:07:16.596
48,9417,1651,164000,CREATED,2026-01-24T15:07:16.596
49,7274,1704,114000,SHIPPING,2026-01-21T15:07:16.612
50,9670,687,126000,COMPLETED,2026-01-02T15:07:16.612
51,6993,1545,69000,COMPLETED,2026-01-21T15:07:16.612
52,9977,253,209000,PAID,2026-01-06T15:07:16.612
53,4524,1931,169000,SHIPPING,2026-01-01T15:07:16.612
54,8022,493,156000,CREATED,2026-01-18T15:07:16.612
55,2254,1948,246000,CREATED,2026-01-13T15:07:16.612
56,9125,775,160000,CREATED,2026-01-27T15:07:16.612
57,8231,685,119000,CREATED,2026-01-14T15:07:16.612
58,1541,1489,155000,CREATED,2025-12-29T15:07:16.612
59,4125,1570,125000,PAID,2026-01-26T15:07:16.612
60,260,1524,212000,SHIPPING,2026-01-26T15:07:16.612
61,5747,1295,236000,PAID,2026-01-03T15:07:16.612
62,1013,1071,106000,SHIPPING,2026-01-19T15:07:16.612
63,5113,1680,101000,SHIPPING,2026-01-13T15:07:16.612
64,896,1901,201000,SHIPPING,2025-12-29T15:07:16.612
65,125,1399,160000,CREATED,2026-01-04T15:07:16.612
66,2855,344,57000,CREATED,2026-01-07T15:07:16.612
67,2332,281,84000,CREATED,2026-01-03T15:07:16.612
68,9427,916,99000,COMPLETED,2026-01-11T15:07:16.612
69,2812,33,155000,SHIPPING,2026-01-09T15:07:16.612
70,3098,350,98000,CREATED,2026-01-13T15:07:16.612
71,6533,1207,58000,CREATED,2026-01-18T15:07:16.612
72,1200,94,163000,COMPLETED,2026-01-05T15:07:16.612
73,1329,1954,52000,COMPLETED,2026-01-11T15:07:16.612
74,5858,1298,58000,CREATED,2026-01-06T15:07:16.612
75,4882,966,158000,COMPLETED,2026-01-01T15:07:16.612
76,559,452,209000,SHIPPING,2026-01-07T15:07:16.612
77,4940,1482,103000,CREATED,2026-01-06T15:07:16.612
78,6374,544,211000,SHIPPING,2026-01-26T15:07:16.612
79,4990,1295,60000,SHIPPING,2026-01-21T15:07:16.612
80,5796,1043,123000,COMPLETED,2026-01-04T15:07:16.612
81,8393,1653,120000,CREATED,2025-12-30T15:07:16.612
82,6309,353,96000,PAID,2025-12-31T15:07:16.612
83,9830,1533,138000,COMPLETED,2026-01-19T15:07:16.612
84,6477,640,240000,PAID,2026-01-19T15:07:16.612
85,4602,1598,142000,CREATED,2026-01-02T15:07:16.612
86,6870,910,124000,COMPLETED,2026-01-19T15:07:16.612
87,5028,1840,200000,COMPLETED,2026-01-24T15:07:16.612
88,7077,8,96000,PAID,2026-01-22T15:07:16.612
89,1583,336,186000,PAID,2026-01-19T15:07:16.612
90,4042,1781,238000,COMPLETED,2026-01-24T15:07:16.612
91,5261,1275,158000,PAID,2026-01-05T15:07:16.612
92,9961,340,75000,CREATED,2026-01-19T15:07:16.612
93,6321,362,172000,COMPLETED,2026-01-14T15:07:16.612
94,3344,1813,156000,SHIPPING,2026-01-20T15:07:16.612
95,6422,1163,233000,CREATED,2026-01-10T15:07:16.612
96,7862,1611,76000,CREATED,2026-01-19T15:07:16.612
97,9885,991,119000,COMPLETED,2026-01-17T15:07:16.612
