variantID,productID,size,color,priceVariant,stock
1,1,S,Black,15600,54,
2,1,S,White,15000,43,
3,1,S,Red,9600,27,
4,1,S,Blue,14400,12,
5,1,S,Gray,14400,52,
6,1,M,Black,7200,37,
7,1,M,White,9000,23,
8,1,M,Red,10800,19,
9,1,M,Blue,6600,26,
10,1,M,Gray,11400,16,
11,1,L,Black,17400,18,
12,1,L,White,12600,38,
13,1,L,Red,9600,57,
14,1,L,Blue,18000,54,
15,1,L,Gray,14400,14,
16,1,XL,Black,11400,26,
17,1,XL,White,15000,48,
18,1,XL,Red,12600,15,
19,1,XL,Blue,9600,55,
20,1,XL,Gray,15600,30,
21,2,S,Black,52500,30,
22,2,S,White,48749,16,
23,2,S,Red,37500,22,
24,2,S,Blue,112500,27,
25,2,S,Gray,48749,31,
26,2,M,Black,86250,26,
27,2,M,White,93750,10,
28,2,M,Red,108750,57,
29,2,M,Blue,93750,53,
30,2,M,Gray,86250,16,
31,2,L,Black,60000,50,
32,2,L,White,101250,27,
33,2,L,Red,82500,13,
34,2,L,Blue,37500,33,
35,2,L,Gray,52500,50,
36,2,XL,Black,48749,17,
37,2,XL,White,52500,41,
38,2,XL,Red,78750,13,
39,2,XL,Blue,105000,59,
40,2,XL,Gray,112500,16,
41,3,S,Black,58499,10,
42,3,S,White,81000,12,
43,3,S,Red,135000,31,
44,3,S,Blue,112500,50,
45,3,S,Gray,67500,57,
46,3,M,Black,94500,31,
47,3,M,White,103499,35,
48,3,M,Red,94500,16,
49,3,M,Blue,108000,27,
50,3,M,Gray,103499,50,
51,3,L,Black,45000,19,
52,3,L,White,54000,38,
53,3,L,Red,117000,54,
54,3,L,Blue,103499,11,
55,3,L,Gray,125999,31,
56,3,XL,Black,130500,54,
57,3,XL,White,49500,44,
58,3,XL,Red,62999,16,
59,3,XL,Blue,85500,21,
60,3,XL,Gray,121500,46,
61,4,S,Black,118999,58,
62,4,S,White,46750,16,
63,4,S,Red,51000,27,
64,4,S,Blue,93500,55,
65,4,S,Gray,118999,46,
66,4,M,Black,127500,11,
67,4,M,White,97749,24,
68,4,M,Red,63750,56,
69,4,M,Blue,93500,45,
70,4,M,Gray,68000,51,
71,4,L,Black,114750,48,
72,4,L,White,63750,54,
73,4,L,Red,102000,36,
74,4,L,Blue,127500,51,
75,4,L,Gray,46750,47,
76,4,XL,Black,63750,31,
77,4,XL,White,42500,17,
78,4,XL,Red,76500,31,
79,4,XL,Blue,76500,48,
80,4,XL,Gray,42500,46,
81,5,S,Black,36100,10,
82,5,S,White,41800,32,
83,5,S,Red,51300,11,
84,5,S,Blue,32300,40,
85,5,S,Gray,20900,51,
86,5,M,Black,45600,44,
87,5,M,White,19000,53,
88,5,M,Red,41800,40,
89,5,M,Blue,53200,45,
90,5,M,Gray,57000,15,
91,5,L,Black,26600,23,
92,5,L,White,39900,37,
93,5,L,Red,53200,56,
94,5,L,Blue,28500,42,
95,5,L,Gray,51300,23,
96,5,XL,Black,22800,11,
97,5,XL,White,39900,42,
98,5,XL,Red,36100,50,
