shopID,shopName,ownerUserID
1,Shop Hoang Hong Khanh,2104
2,Shop Pham Thanh Huy,7462
3,Shop Lumina Studio 3,9734
4,Shop Zestie 4,5470
5,Shop Dang Thanh Minh,1561
6,Shop Huynh Thanh Cuong,521
7,Shop Nguyen Hoang Huy,1595
8,Shop Le Hoang Cuong,7300
9,Shop Tran Nha Huy,1559
10,Shop Fashion 10,7064
11,Shop Dang Nha Binh,3973
12,Shop Zestie 12,2255
13,Shop Zestie 13,6196
14,Shop Accessories 14,1873
15,Shop Fashion 15,975
16,Shop Nguyen Hoang Minh,9626
17,Shop Dang Nha Phuc,2663
18,Shop Nguyen Thanh Phuc,1189
19,Shop Tran Trong An,8995
20,Shop Lumina Studio 20,3890
21,Shop Nguyen Thanh Minh,428
22,Shop Tran Thanh An,3418
23,Shop Fashion 23,59
24,Shop Saffron & Sage 24,3569
25,Shop Huynh Hong Phuc,6297
26,Shop Pham Trong An,4249
27,Shop Hoang Thanh Phuc,593
28,Shop Fashion 28,5732
29,Shop Nguyen Thanh Phuc,2496
30,Shop Zestie 30,1190
31,Shop Saffron & Sage 31,8200
32,Shop Saffron & Sage 32,1966
33,Shop Hoang Hong Minh,2062
34,Shop Saffron & Sage 34,2445
35,Shop Zestie 35,2319
36,Shop Hoang Nha Binh,5854
37,Shop Accessories 37,3190
38,Shop Saffron & Sage 38,8461
39,Shop Pham Nha Nam,4796
40,Shop Saffron & Sage 40,4230
41,Shop Fashion 41,5727
42,Shop Accessories 42,319
43,Shop Tran Nha Cuong,7592
44,Shop Accessories 44,7939
45,Shop Tran Hoang Phuc,5953
46,Shop Zestie 46,5955
47,Shop Fashion 47,1087
48,Shop Huynh Nha Dung,177
49,Shop Saffron & Sage 49,6968
50,Shop Zestie 50,7379
51,Shop Huynh Nha Nam,8363
52,Shop Le Hoang Dung,6935
53,Shop Pham Thanh Nam,8826
54,Shop Vo Nha An,7465
55,Shop Dang Nha Binh,5056
56,Shop Lumina Studio 56,5562
57,Shop Saffron & Sage 57,8534
58,Shop Zestie 58,7996
59,Shop Huynh Thanh Dung,8516
60,Shop Zestie 60,8230
61,Shop Tran Thanh Dung,4165
62,Shop Accessories 62,5500
63,Shop Nguyen Hong Dung,6801
64,Shop Zestie 64,1281
65,Shop Zestie 65,1364
66,Shop Lumina Studio 66,6965
67,Shop Huynh Thanh Phuc,3972
68,Shop Accessories 68,7718
69,Shop Accessories 69,5323
70,Shop Hoang Thanh Khanh,9470
71,Shop Tran Trong Nam,4191
72,Shop Lumina Studio 72,4954
73,Shop Fashion 73,4283
74,Shop Fashion 74,9769
75,Shop Accessories 75,7763
76,Shop Huynh Thanh Huy,713
77,Shop Le Thanh Long,8844
78,Shop Pham Nha Nam,7140
79,Shop Fashion 79,5441
80,Shop Accessories 80,6244
81,Shop Nguyen Hong Cuong,7068
82,Shop Huynh Thanh Phuc,2427
83,Shop Saffron & Sage 83,9351
84,Shop Nguyen Thanh Binh,8084
85,Shop Dang Thanh Nam,1161
86,Shop Pham Hong Binh,8556
87,Shop Accessories 87,5516
88,Shop Lumina Studio 88,2448
89,Shop Pham Hong Khanh,9661
90,Shop Fashion 90,3105
91,Shop Fashion 91,59
92,Shop Lumina Studio 92,64
93,Shop Lumina Studio 93,6093
94,Shop Saffron & Sage 94,2305
95,Shop Accessories 95,2233
96,Shop Nguyen Nha Cuong,4153
97,Shop Lumina Studio 97,2648
98,Shop Accessories 98,2121
99,Shop Tran Nha Phuc,3022
100,Shop Dang Hoang Phuc,1962
101,Shop Fashion 101,1354
102,Shop Accessories 102,4460
103,Shop Hoang Trong Dung,5040
104,Shop Fashion 104,7677
105,Shop Lumina Studio 105,7762
106,Shop Fashion 106,9773
107,Shop Dang Trong Cuong,9758
108,Shop Fashion 108,994
109,Shop Hoang Hoang Huy,6732
110,Shop Fashion 110,3892
111,Shop Lumina Studio 111,8261
112,Shop Fashion 112,8947
113,Shop Pham Nha Khanh,642
114,Shop Fashion 114,7468
115,Shop Pham Hong Huy,8810
116,Shop Fashion 116,2825
117,Shop Fashion 117,2664
118,Shop Lumina Studio 118,506
119,Shop Saffron & Sage 119,3289
120,Shop Saffron & Sage 120,4303
121,Shop Vo Hong Khanh,116
122,Shop Fashion 122,3995
123,Shop Saffron & Sage 123,2867
124,Shop Hoang Hoang Nam,1991
125,Shop Huynh Nha Khanh,2196
126,Shop Nguyen Hong Phuc,3681
127,Shop Lumina Studio 127,5450
128,Shop Saffron & Sage 128,6356
129,Shop Hoang Hong Huy,4837
130,Shop Huynh Thanh Nam,902
