variant_id,product_id,size,color,stock
V00001,P0002,M,Blue,152
V00002,P0003,XL,Blue,12
V00003,P0004,L,Black,144
V00004,P0005,L,White,3
V00005,P0006,XL,White,134
V00006,P0007,M,Black,128
V00007,P0008,XL,Black,66
V00008,P0009,L,Red,71
V00009,P0010,XL,Black,171
V00010,P0011,XL,Red,111
V00011,P0012,L,Blue,90
V00012,P0013,M,Black,89
V00013,P0014,L,Blue,199
V00014,P0015,XL,Black,35
V00015,P0016,M,Blue,56
V00016,P0017,M,Blue,1
V00017,P0018,S,Blue,108
V00018,P0019,L,Red,60
V00019,P0020,XL,Red,155
V00020,P0021,S,Blue,164
V00021,P0022,M,White,182
V00022,P0023,L,Blue,171
V00023,P0024,XL,Black,53
V00024,P0025,XL,White,67
V00025,P0026,XL,Blue,181
V00026,P0027,M,Blue,95
V00027,P0028,XL,White,10
V00028,P0029,S,Blue,96
V00029,P0030,M,Blue,69
V00030,P9999,L,Black,83
V00031,P0032,S,Blue,70
V00032,P0033,XL,White,104
V00033,P0034,XL,Black,21
V00034,P0035,XL,Red,35
V00035,P0036,L,Blue,60
V00036,P0037,M,Blue,57
V00037,P0038,XL,White,91
V00038,P0039,L,Black,74
V00039,P0040,L,Black,100
V00040,P0041,S,Red,121
V00041,P0042,L,Blue,65
V00042,P0043,XL,Red,193
V00043,P0044,L,White,76
V00044,P0045,L,Blue,78
V00045,P0046,XL,White,0
V00046,P0047,XL,Red,13
V00047,P0048,M,Blue,24
V00048,P0049,S,Blue,65
V00049,P0050,L,Red,146
V00050,P0051,S,Red,-5
V00051,P0052,M,Red,101
V00052,P0053,XL,Blue,121
V00053,P0054,S,White,82
V00054,P0055,M,Black,113
V00055,P0056,M,Red,142
V00056,P0057,XL,Black,14
V00057,P0058,M,Blue,121
V00058,P0059,L,Black,46
V00059,P0060,XL,White,27
V00060,P9999,L,Blue,195
V00061,P0062,S,White,135
V00062,P0063,S,Blue,5
V00063,P0064,XL,Blue,52
V00064,P0065,XL,Red,198
V00065,P0066,L,White,140
V00066,P0067,M,White,82
V00067,P0068,L,Black,167
V00068,P0069,XL,White,14
V00069,P0070,XL,Red,1
V00070,P0071,M,Blue,110
V00071,P0072,S,Black,112
V00072,P0073,M,Black,0
V00073,P0074,XL,Black,189
V00074,P0075,S,Black,2
V00075,P0076,L,White,138
V00076,P0077,S,Red,1
V00077,P0078,XL,Red,175
V00078,P0079,M,White,133
V00079,P0080,L,Red,158
V00080,P0081,M,Blue,26
V00081,P0082,XL,Black,160
V00082,P0083,M,Blue,153
V00083,P0084,L,Blue,198
V00084,P0085,M,Black,49
V00085,P0086,S,Blue,188
V00086,P0087,XL,Black,122
V00087,P0088,S,Blue,126
V00088,P0089,L,White,187
V00089,P0090,M,White,157
V00090,P9999,S,White,62
V00091,P0092,M,Black,38
V00092,P0093,XL,Red,110
V00093,P0094,S,White,45
V00094,P0095,XL,Blue,161
V00095,P0096,S,White,47
V00096,P0097,L,Blue,189
V00097,P0098,XL,Red,87
V00098,P0099,M,Black,120
V00099,P0100,XL,White,98
V00100,P0101,S,White,-5
V00101,P0102,S,Blue,21
V00102,P0103,S,Red,47
V00103,P0104,M,White,86
V00104,P0105,S,Red,10
V00105,P0106,M,Black,46
V00106,P0107,M,Black,167
V00107,P0108,S,Red,172
V00108,P0109,S,Red,163
V00109,P0110,XL,Red,119
V00110,P0111,XL,White,45
V00111,P0112,XL,Blue,164
V00112,P0113,L,Blue,17
V00113,P0114,XL,Blue,139
V00114,P0115,M,Black,50
V00115,P0116,M,White,0
V00116,P0117,M,Blue,84
V00117,P0118,XL,Black,95
V00118,P0119,S,White,119
V00119,P0120,XL,Red,137
V00120,P9999,S,Blue,58
V00121,P0122,L,White,198
V00122,P0123,S,Blue,198
V00123,P0124,XL,Black,45
V00124,P0125,XL,White,117
V00125,P0126,L,Black,46
V00126,P0127,L,Red,182
V00127,P0128,S,Black,109
V00128,P0129,M,White,31
V00129,P0130,S,Red,48
V00130,P0131,M,Red,167
V00131,P0132,L,Blue,58
V00132,P0133,S,Blue,189
V00133,P0134,M,White,13
V00134,P0135,S,Red,87
V00135,P0136,S,Blue,15
V00136,P0137,M,White,117
V00137,P0138,XL,Blue,149
V00138,P0139,XL,White,0
V00139,P0140,L,Red,58
V00140,P0141,L,White,197
V00141,P0142,S,Black,114
V00142,P0143,M,Red,191
V00143,P0144,M,White,196
V00144,P0145,M,Black,1
V00145,P0146,S,Red,153
V00146,P0147,S,Blue,51
V00147,P0148,M,Red,167
V00148,P0149,XL,Black,145
V00149,P0150,M,White,121
V00150,P9999,M,Red,-5
V00151,P0152,M,Black,137
V00152,P0153,XL,Black,165
V00153,P0154,XL,Blue,110
V00154,P0155,S,Black,21
V00155,P0156,S,Blue,87
V00156,P0157,M,Red,64
V00157,P0158,S,White,184
V00158,P0159,S,Red,36
V00159,P0160,S,Black,186
V00160,P0161,M,White,125
V00161,P0162,M,Red,86
V00162,P0163,L,Blue,110
V00163,P0164,XL,Red,67
V00164,P0165,XL,White,39
V00165,P0166,XL,Blue,40
V00166,P0167,XL,Red,4
V00167,P0168,S,Black,96
V00168,P0169,S,White,68
V00169,P0170,L,Blue,48
V00170,P0171,S,Blue,61
V00171,P0172,S,Black,104
V00172,P0173,M,Black,7
V00173,P0174,M,White,107
V00174,P0175,L,White,118
V00175,P0176,XL,Black,186
V00176,P0177,M,Red,101
V00177,P0178,S,White,130
V00178,P0179,L,Black,141
V00179,P0180,L,Blue,130
V00180,P9999,M,White,98
V00181,P0182,M,Red,43
V00182,P0183,S,Black,75
V00183,P0184,L,Black,162
V00184,P0185,M,White,124
V00185,P0186,S,White,88
V00186,P0187,M,Black,143
V00187,P0188,L,Red,17
V00188,P0189,M,White,197
V00189,P0190,S,Red,82
V00190,P0191,S,Black,151
V00191,P0192,L,White,10
V00192,P0193,XL,Black,191
V00193,P0194,S,Blue,178
V00194,P0195,S,White,9
V00195,P0196,L,Blue,4
V00196,P0197,XL,Black,105
V00197,P0198,L,Blue,189
V00198,P0199,M,Black,15
V00199,P0200,S,Blue,122
V00200,P0201,M,Blue,-5
V00201,P0202,XL,White,180
V00202,P0203,L,White,7
V00203,P0204,XL,Blue,58
V00204,P0205,XL,Red,119
V00205,P0206,L,Red,87
V00206,P0207,XL,White,18
V00207,P0208,S,White,105
V00208,P0209,M,Red,84
V00209,P0210,XL,Blue,96
V00210,P9999,M,Black,122
V00211,P0212,S,Red,130
V00212,P0213,S,Black,101
V00213,P0214,XL,Black,98
V00214,P0215,S,Black,23
V00215,P0216,M,Red,182
V00216,P0217,L,Black,26
V00217,P0218,M,Black,14
V00218,P0219,XL,Black,126
V00219,P0220,XL,Blue,13
V00220,P0221,L,Black,159
V00221,P0222,S,White,54
V00222,P0223,S,Blue,86
V00223,P0224,L,Red,87
V00224,P0225,S,Black,153
V00225,P0226,L,Red,73
V00226,P0227,S,Red,101
V00227,P0228,XL,Blue,182
V00228,P0229,M,Blue,3
V00229,P0230,XL,White,87
V00230,P0231,M,Black,158
V00231,P0232,M,Blue,185
V00232,P0233,XL,Black,188
V00233,P0234,M,Red,3
V00234,P0235,L,Red,130
V00235,P0236,XL,Blue,117
V00236,P0237,S,Red,32
V00237,P0238,XL,White,63
V00238,P0239,XL,Black,32
V00239,P0240,S,White,181
V00240,P9999,L,Red,32
V00241,P0242,XL,White,179
V00242,P0243,M,Black,130
V00243,P0244,L,White,121
V00244,P0245,S,Blue,72
V00245,P0246,M,Blue,159
V00246,P0247,M,White,14
V00247,P0248,L,Red,115
V00248,P0249,L,White,60
V00249,P0250,S,Black,104
V00250,P0251,S,White,-5
V00251,P0252,M,White,131
V00252,P0253,M,White,17
V00253,P0254,L,Black,42
V00254,P0255,M,White,129
V00255,P0256,XL,Red,149
V00256,P0257,M,Red,180
V00257,P0258,M,Black,117
V00258,P0259,M,White,117
V00259,P0260,M,White,59
V00260,P0261,M,White,67
V00261,P0262,XL,Black,177
V00262,P0263,L,White,149
V00263,P0264,S,Black,63
V00264,P0265,L,Blue,69
V00265,P0266,XL,Blue,9
V00266,P0267,M,Blue,84
V00267,P0268,M,Blue,105
V00268,P0269,M,Red,91
V00269,P0270,S,Blue,95
V00270,P9999,L,White,122
V00271,P0272,M,Black,168
V00272,P0273,S,White,107
V00273,P0274,M,White,131
V00274,P0275,S,Black,142
V00275,P0276,S,Red,184
V00276,P0277,L,Blue,27
V00277,P0278,XL,White,16
V00278,P0279,XL,Black,44
V00279,P0280,XL,Blue,39
V00280,P0281,XL,Black,90
V00281,P0282,S,White,75
V00282,P0283,L,White,146
V00283,P0284,XL,White,85
V00284,P0285,XL,Blue,98
V00285,P0286,S,Black,66
V00286,P0287,XL,Black,148
V00287,P0288,S,White,7
V00288,P0289,XL,Blue,10
V00289,P0290,XL,Blue,157
V00290,P0291,M,Black,25
V00291,P0292,M,White,63
V00292,P0293,L,Red,144
V00293,P0294,L,Black,155
V00294,P0295,XL,Blue,77
V00295,P0296,L,Blue,124
V00296,P0297,M,Red,138
V00297,P0298,S,Blue,156
V00298,P0299,S,Red,158
V00299,P0300,S,Red,88
V00300,P9999,XL,Red,-5
V00301,P0302,M,Black,190
V00302,P0303,S,Black,86
V00303,P0304,M,Red,76
V00304,P0305,M,White,146
V00305,P0306,M,White,126
V00306,P0307,M,Black,162
V00307,P0308,XL,Black,64
V00308,P0309,M,Blue,50
V00309,P0310,L,Red,59
V00310,P0311,L,Red,99
V00311,P0312,S,Black,49
V00312,P0313,S,White,23
V00313,P0314,S,Blue,21
V00314,P0315,S,Red,48
V00315,P0316,XL,Black,107
V00316,P0317,M,Black,174
V00317,P0318,S,Black,171
V00318,P0319,L,White,78
V00319,P0320,S,Red,80
V00320,P0321,S,Red,44
V00321,P0322,M,Blue,51
V00322,P0323,M,Red,98
V00323,P0324,S,Blue,18
V00324,P0325,L,Red,149
V00325,P0326,S,Red,111
V00326,P0327,S,Blue,60
V00327,P0328,M,Blue,183
V00328,P0329,M,Black,183
V00329,P0330,L,Red,32
V00330,P9999,L,Black,161
V00331,P0332,S,Blue,121
V00332,P0333,XL,Red,98
V00333,P0334,S,Blue,23
V00334,P0335,M,White,21
V00335,P0336,S,Blue,36
V00336,P0337,S,Red,175
V00337,P0338,M,Black,95
V00338,P0339,S,White,34
V00339,P0340,S,Blue,138
V00340,P0341,XL,Blue,74
V00341,P0342,XL,White,158
V00342,P0343,L,White,96
V00343,P0344,XL,Blue,163
V00344,P0345,L,Blue,53
V00345,P0346,S,White,163
V00346,P0347,XL,White,154
V00347,P0348,M,Red,112
V00348,P0349,S,Blue,106
V00349,P0350,L,Red,106
V00350,P0351,XL,Red,-5
V00351,P0352,M,White,113
V00352,P0353,S,Blue,17
V00353,P0354,XL,Black,152
V00354,P0355,M,Black,53
V00355,P0356,L,White,14
V00356,P0357,M,Black,73
V00357,P0358,XL,Black,34
V00358,P0359,XL,Blue,153
V00359,P0360,S,Red,127
V00360,P9999,L,Black,41
V00361,P0362,XL,Blue,79
V00362,P0363,S,White,178
V00363,P0364,XL,Blue,184
V00364,P0365,M,Red,163
V00365,P0366,L,White,95
V00366,P0367,XL,Red,46
V00367,P0368,S,White,13
V00368,P0369,XL,Black,125
V00369,P0370,S,Blue,118
V00370,P0371,M,Red,8
V00371,P0372,M,White,180
V00372,P0373,XL,Red,76
V00373,P0374,XL,Red,61
V00374,P0375,S,Red,173
V00375,P0376,XL,Red,86
V00376,P0377,M,Black,46
V00377,P0378,XL,Black,133
V00378,P0379,S,Red,61
V00379,P0380,S,Black,194
V00380,P0381,L,Black,88
V00381,P0382,L,White,99
V00382,P0383,XL,Black,127
V00383,P0384,L,Blue,150
V00384,P0385,M,Black,31
V00385,P0386,M,Blue,35
V00386,P0387,L,Red,133
V00387,P0388,S,Black,91
V00388,P0389,S,Blue,179
V00389,P0390,L,Blue,180
V00390,P9999,M,Blue,71
V00391,P0392,M,Blue,5
V00392,P0393,XL,White,46
V00393,P0394,S,Black,140
V00394,P0395,M,White,171
V00395,P0396,XL,White,155
V00396,P0397,S,White,35
V00397,P0398,L,White,18
V00398,P0399,L,Blue,80
V00399,P0400,S,Black,89
V00400,P0401,S,Blue,-5
