product_id,shop_id,name,price
P0001,S002,Product 1,242247
P0002,S003,Product 2,281614
P0003,S004,Product 3,800550
P0004,S005,Product 4,833555
P0005,S006,Product 5,607382
P0006,S007,Product 6,152856
P0007,S008,Product 7,681428
P0008,S009,Product 8,668010
P0009,S010,Product 9,632866
P0010,S011,Product 10,789373
P0011,S012,Product 11,211842
P0012,S013,Product 12,609141
P0013,S014,Product 13,370034
P0014,S015,Product 14,113658
P0015,S016,Product 15,940964
P0016,S017,Product 16,477215
P0017,S018,Product 17,563113
P0018,S019,Product 18,750323
P0019,S020,Product 19,235340
P0020,S021,Product 20,227730
P0021,S022,Product 21,261460
P0022,S023,Product 22,276492
P0023,S024,Product 23,895614
P0024,S025,Product 24,718758
P0025,S026,Product 25,228002
P0026,S027,Product 26,360648
P0027,S028,Product 27,396959
P0028,S029,Product 28,819941
P0029,S030,Product 29,411725
P0030,S999,Product 30,608091
P0031,S032,Product 31,928779
P0032,S033,Product 32,726167
P0033,S034,Product 33,630807
P0034,S035,Product 34,501102
P0035,S036,Product 35,783461
P0036,S037,Product 36,979695
P0037,S038,Product 37,103759
P0038,S039,Product 38,612623
P0039,S040,Product 39,494409
P0040,S041,Product 40,851729
P0041,S042,Product 41,428915
P0042,S043,Product 42,257650
P0043,S044,Product 43,584894
P0044,S045,Product 44,418142
P0045,S046,Product 45,583152
P0046,S047,Product 46,120809
P0047,S048,Product 47,869671
P0048,S049,Product 48,518878
P0049,S050,Product 49,406276
P0050,S051,Product 50,299771
P0051,S052,Product 51,273976
P0052,S053,Product 52,335080
P0053,S054,Product 53,994181
P0054,S055,Product 54,358340
P0055,S056,Product 55,650438
P0056,S057,Product 56,910929
P0057,S058,Product 57,163450
P0058,S059,Product 58,700328
P0059,S060,Product 59,190199
P0060,S999,Product 60,933230
P0061,S062,Product 61,529063
P0062,S063,Product 62,523221
P0063,S064,Product 63,549689
P0064,S065,Product 64,300456
P0065,S066,Product 65,854790
P0066,S067,Product 66,700276
P0067,S068,Product 67,910638
P0068,S069,Product 68,533148
P0069,S070,Product 69,372240
P0070,S071,Product 70,340907
P0071,S072,Product 71,803013
P0072,S073,Product 72,746603
P0073,S074,Product 73,772188
P0074,S075,Product 74,653363
P0075,S076,Product 75,300388
P0076,S077,Product 76,673189
P0077,S078,Product 77,689566
P0078,S079,Product 78,638961
P0079,S080,Product 79,780513
P0080,S081,Product 80,175565
P0081,S082,Product 81,621937
P0082,S083,Product 82,881428
P0083,S084,Product 83,645488
P0084,S085,Product 84,911689
P0085,S086,Product 85,779215
P0086,S087,Product 86,623402
P0087,S088,Product 87,810263
P0088,S089,Product 88,473320
P0089,S090,Product 89,538012
P0090,S999,Product 90,142366
P0091,S092,Product 91,391037
P0092,S093,Product 92,825072
P0093,S094,Product 93,170243
P0094,S095,Product 94,660818
P0095,S096,Product 95,358337
P0096,S097,Product 96,161379
P0097,S098,Product 97,914456
P0098,S099,Product 98,289365
P0099,S100,Product 99,912870
P0100,S001,Product 100,797197
P0101,S002,Product 101,467421
P0102,S003,Product 102,271713
P0103,S004,Product 103,466732
P0104,S005,Product 104,568717
P0105,S006,Product 105,193952
P0106,S007,Product 106,693459
P0107,S008,Product 107,837786
P0108,S009,Product 108,434973
P0109,S010,Product 109,965185
P0110,S011,Product 110,771208
P0111,S012,Product 111,613751
P0112,S013,Product 112,476416
P0113,S014,Product 113,285106
P0114,S015,Product 114,631409
P0115,S016,Product 115,609209
P0116,S017,Product 116,410024
P0117,S018,Product 117,553495
P0118,S019,Product 118,970707
P0119,S020,Product 119,211540
P0120,S999,Product 120,847936
P0121,S022,Product 121,527596
P0122,S023,Product 122,146877
P0123,S024,Product 123,517108
P0124,S025,Product 124,843548
P0125,S026,Product 125,603910
P0126,S027,Product 126,682215
P0127,S028,Product 127,725766
P0128,S029,Product 128,344188
P0129,S030,Product 129,379090
P0130,S031,Product 130,600803
P0131,S032,Product 131,213168
P0132,S033,Product 132,252407
P0133,S034,Product 133,600057
P0134,S035,Product 134,324323
P0135,S036,Product 135,417441
P0136,S037,Product 136,669961
P0137,S038,Product 137,480741
P0138,S039,Product 138,791911
P0139,S040,Product 139,922147
P0140,S041,Product 140,167547
P0141,S042,Product 141,432541
P0142,S043,Product 142,272640
P0143,S044,Product 143,660333
P0144,S045,Product 144,685420
P0145,S046,Product 145,384972
P0146,S047,Product 146,739942
P0147,S048,Product 147,855125
P0148,S049,Product 148,547129
P0149,S050,Product 149,462816
P0150,S999,Product 150,179891
P0151,S052,Product 151,658499
P0152,S053,Product 152,396078
P0153,S054,Product 153,515087
P0154,S055,Product 154,346458
P0155,S056,Product 155,707200
P0156,S057,Product 156,225225
P0157,S058,Product 157,403667
P0158,S059,Product 158,190599
P0159,S060,Product 159,368461
P0160,S061,Product 160,929063
P0161,S062,Product 161,305782
P0162,S063,Product 162,755861
P0163,S064,Product 163,505104
P0164,S065,Product 164,630861
P0165,S066,Product 165,738121
P0166,S067,Product 166,657062
P0167,S068,Product 167,343274
P0168,S069,Product 168,449461
P0169,S070,Product 169,764334
P0170,S071,Product 170,153986
P0171,S072,Product 171,332740
P0172,S073,Product 172,970611
P0173,S074,Product 173,801941
P0174,S075,Product 174,212015
P0175,S076,Product 175,927879
P0176,S077,Product 176,235651
P0177,S078,Product 177,296675
P0178,S079,Product 178,394024
P0179,S080,Product 179,782762
P0180,S999,Product 180,453906
P0181,S082,Product 181,830095
P0182,S083,Product 182,512510
P0183,S084,Product 183,396454
P0184,S085,Product 184,841701
P0185,S086,Product 185,792871
P0186,S087,Product 186,183112
P0187,S088,Product 187,264486
P0188,S089,Product 188,563753
P0189,S090,Product 189,848687
P0190,S091,Product 190,879816
P0191,S092,Product 191,554202
P0192,S093,Product 192,521400
P0193,S094,Product 193,966953
P0194,S095,Product 194,689532
P0195,S096,Product 195,647563
P0196,S097,Product 196,261156
P0197,S098,Product 197,745008
P0198,S099,Product 198,977086
P0199,S100,Product 199,405065
P0200,S001,Product 200,487908
P0201,S002,Product 201,884862
P0202,S003,Product 202,720536
P0203,S004,Product 203,720127
P0204,S005,Product 204,527129
P0205,S006,Product 205,254414
P0206,S007,Product 206,186855
P0207,S008,Product 207,123752
P0208,S009,Product 208,353019
P0209,S010,Product 209,496252
P0210,S999,Product 210,794539
P0211,S012,Product 211,183739
P0212,S013,Product 212,962277
P0213,S014,Product 213,735464
P0214,S015,Product 214,856648
P0215,S016,Product 215,854018
P0216,S017,Product 216,412377
P0217,S018,Product 217,674809
P0218,S019,Product 218,622716
P0219,S020,Product 219,313737
P0220,S021,Product 220,730129
P0221,S022,Product 221,924446
P0222,S023,Product 222,789277
P0223,S024,Product 223,144977
P0224,S025,Product 224,376163
P0225,S026,Product 225,955472
P0226,S027,Product 226,324590
P0227,S028,Product 227,974340
P0228,S029,Product 228,511504
P0229,S030,Product 229,986035
P0230,S031,Product 230,460606
P0231,S032,Product 231,472483
P0232,S033,Product 232,786890
P0233,S034,Product 233,338043
P0234,S035,Product 234,191550
P0235,S036,Product 235,649658
P0236,S037,Product 236,773504
P0237,S038,Product 237,508267
P0238,S039,Product 238,257085
P0239,S040,Product 239,325973
P0240,S999,Product 240,640263
P0241,S042,Product 241,593273
P0242,S043,Product 242,748162
P0243,S044,Product 243,177389
P0244,S045,Product 244,945030
P0245,S046,Product 245,864494
P0246,S047,Product 246,852868
P0247,S048,Product 247,826843
P0248,S049,Product 248,950494
P0249,S050,Product 249,194057
P0250,S051,Product 250,946697
P0251,S052,Product 251,737613
P0252,S053,Product 252,888308
P0253,S054,Product 253,574211
P0254,S055,Product 254,948313
P0255,S056,Product 255,251478
P0256,S057,Product 256,437053
P0257,S058,Product 257,763917
P0258,S059,Product 258,754847
P0259,S060,Product 259,171103
P0260,S061,Product 260,319941
P0261,S062,Product 261,139381
P0262,S063,Product 262,165628
P0263,S064,Product 263,856251
P0264,S065,Product 264,849371
P0265,S066,Product 265,111880
P0266,S067,Product 266,250663
P0267,S068,Product 267,922617
P0268,S069,Product 268,752381
P0269,S070,Product 269,525553
P0270,S999,Product 270,164805
P0271,S072,Product 271,973106
P0272,S073,Product 272,813979
P0273,S074,Product 273,173952
P0274,S075,Product 274,768321
P0275,S076,Product 275,135587
P0276,S077,Product 276,213674
P0277,S078,Product 277,200965
P0278,S079,Product 278,699944
P0279,S080,Product 279,561076
P0280,S081,Product 280,256648
P0281,S082,Product 281,932348
P0282,S083,Product 282,519363
P0283,S084,Product 283,996118
P0284,S085,Product 284,809639
P0285,S086,Product 285,563235
P0286,S087,Product 286,777586
P0287,S088,Product 287,122764
P0288,S089,Product 288,832313
P0289,S090,Product 289,708741
P0290,S091,Product 290,593922
P0291,S092,Product 291,101792
P0292,S093,Product 292,286166
P0293,S094,Product 293,571547
P0294,S095,Product 294,571467
P0295,S096,Product 295,580183
P0296,S097,Product 296,428684
P0297,S098,Product 297,589257
P0298,S099,Product 298,416104
P0299,S100,Product 299,440126
P0300,S999,Product 300,120707
P0301,S002,Product 301,404036
P0302,S003,Product 302,509075
P0303,S004,Product 303,572803
P0304,S005,Product 304,205675
P0305,S006,Product 305,843699
P0306,S007,Product 306,865404
P0307,S008,Product 307,307809
P0308,S009,Product 308,267077
P0309,S010,Product 309,838707
P0310,S011,Product 310,890982
P0311,S012,Product 311,163891
P0312,S013,Product 312,872460
P0313,S014,Product 313,498644
P0314,S015,Product 314,634335
P0315,S016,Product 315,708777
P0316,S017,Product 316,270078
P0317,S018,Product 317,566657
P0318,S019,Product 318,583706
P0319,S020,Product 319,596568
P0320,S021,Product 320,454538
P0321,S022,Product 321,293981
P0322,S023,Product 322,465931
P0323,S024,Product 323,251436
P0324,S025,Product 324,836024
P0325,S026,Product 325,870088
P0326,S027,Product 326,607006
P0327,S028,Product 327,414713
P0328,S029,Product 328,736911
P0329,S030,Product 329,958242
P0330,S999,Product 330,394484
P0331,S032,Product 331,126479
P0332,S033,Product 332,440423
P0333,S034,Product 333,510950
P0334,S035,Product 334,621307
P0335,S036,Product 335,412972
P0336,S037,Product 336,679372
P0337,S038,Product 337,280151
P0338,S039,Product 338,398856
P0339,S040,Product 339,937291
