shop_id,shop_name,owner_id
S001,Shop 1,U0001
S002,Shop 2,U0002
S003,Shop 3,U0003
S004,Shop 4,U0004
S005,Shop 5,U0005
S006,Shop 6,U0006
S007,Shop 7,U0007
S008,Shop 8,U0008
S009,Shop 9,U0009
S010,Shop 10,U0010
S011,Shop 11,U0011
S012,Shop 12,U0012
S013,Shop 13,U0013
S014,Shop 14,U0014
S015,Shop 15,U9999
S016,Shop 16,U0016
S017,Shop 17,U0017
S018,Shop 18,U0018
S019,Shop 19,U0019
S020,Shop 20,U0020
S021,Shop 21,U0021
S022,Shop 22,U0022
S023,Shop 23,U0023
S024,Shop 24,U0024
S025,Shop 25,U0025
S026,Shop 26,U0026
S027,Shop 27,U0027
S028,Shop 28,U0028
S029,Shop 29,U0029
S030,Shop 30,U9999
S031,Shop 31,U0031
S032,Shop 32,U0032
S033,Shop 33,U0033
S034,Shop 34,U0034
S035,Shop 35,U0035
S036,Shop 36,U0036
S037,Shop 37,U0037
S038,Shop 38,U0038
S039,Shop 39,U0039
S040,Shop 40,U0040
S041,Shop 41,U0041
S042,Shop 42,U0042
S043,Shop 43,U0043
S044,Shop 44,U0044
S045,Shop 45,U9999
S046,Shop 46,U0046
S047,Shop 47,U0047
S048,Shop 48,U0048
S049,Shop 49,U0049
S050,Shop 50,U0050
S051,Shop 51,U0051
S052,Shop 52,U0052
S053,Shop 53,U0053
S054,Shop 54,U0054
S055,Shop 55,U0055
S056,Shop 56,U0056
S057,Shop 57,U0057
S058,Shop 58,U0058
S059,Shop 59,U0059
S060,Shop 60,U9999
S061,Shop 61,U0061
S062,Shop 62,U0062
S063,Shop 63,U0063
S064,Shop 64,U0064
S065,Shop 65,U0065
S066,Shop 66,U0066
S067,Shop 67,U0067
S068,Shop 68,U0068
S069,Shop 69,U0069
S070,Shop 70,U0070
S071,Shop 71,U0071
S072,Shop 72,U0072
S073,Shop 73,U0073
S074,Shop 74,U0074
S075,Shop 75,U9999
S076,Shop 76,U0076
S077,Shop 77,U0077
S078,Shop 78,U0078
S079,Shop 79,U0079
S080,Shop 80,U0080
S081,Shop 81,U0081
S082,Shop 82,U0082
S083,Shop 83,U0083
S084,Shop 84,U0084
S085,Shop 85,U0085
S086,Shop 86,U0086
S087,Shop 87,U0087
S088,Shop 88,U0088
S089,Shop 89,U0089
S090,Shop 90,U9999
S091,Shop 91,U0091
S092,Shop 92,U0092
S093,Shop 93,U0093
S094,Shop 94,U0094
S095,Shop 95,U0095
S096,Shop 96,U0096
S097,Shop 97,U0097
S098,Shop 98,U0098
S099,Shop 99,U0099
S100,Shop 100,U0100
